title,authors,source,year,citations no.
Handwritten digit recognition: Applications of neural network chips and automatic learning,"Y LeCun, LD Jackel, B Boser, JS Denker, HP Graf, I Guyon, D Henderson, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:N5tVd3kTz84C,1989,570
Deep learning with elastic averaging SGD,"S Zhang, AE Choromanska, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:JTutsjMeBaAC,2015,561
Improving the Convergence of Back-Propagation Learning with,"S Becker, Y Le Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:ye4kPcJQO24C,1988,521
Large Scale Online Learning.,"L Bottou, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:uWiczbcajpAC,2003,511
Synergistic face detection and pose estimation with energy-based model,"M Osadchy, Y LeCun, ML Miller",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:W5xh706n7nkC,2005,504
Transformation invariance in pattern recognition—tangent distance and tangent propagation,"PY Simard, YA LeCun, JS Denker, B Victorri",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:_Xy5tTOxz_oC,1998,494
Entropy-sgd: Biasing gradient descent into wide valleys,"P Chaudhari, A Choromanska, S Soatto, Y LeCun, C Baldassi, C Borgs, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:E9jS3u5z5twC,2016,494
NeuFlow: A Runtime Reconfigurable Dataflow Processor for Vision,"C Farabet, B Martini, B Corda, P Akselrod, E Culurciello, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:XiSMed-E-HIC,2011,471
Indoor Semantic Segmentation using depth information,"C Couprie, C Farabet, L Najman, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:HJSXoJQnj-YC,2013,462
No more pesky learning rates,"T Schaul, S Zhang, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:NDuN12AVoxsC,2012,461
Cnp: An fpga-based processor for convolutional networks,"C Farabet, C Poulet, JY Han, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:IWHjjKOFINEC,2009,453
Large-scale learning with svm and convolutional nets for generic object categorization,"FJ Huang, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:qxL8FJ1GzNcC,2006,445
Boosting and other ensemble methods,"H Drucker, C Cortes, LD Jackel, Y LeCun, V Vapnik",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:zYLM7Y9cAGgC,1994,443
Disentangling factors of variation in deep representation using adversarial training,"MF Mathieu, JJ Zhao, J Zhao, A Ramesh, P Sprechmann, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:0xcHesCNKywC,2016,435
Classification of patterns of EEG synchronization for seizure prediction,"P Mirowski, D Madhavan, Y LeCun, R Kuzniecky",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:L8Ckcad2t8MC,2009,434
Learning invariant features through topographic filter maps,"K Kavukcuoglu, MA Ranzato, R Fergus, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:JQOojiI6XY0C,2009,429
Learning long‐range vision for autonomous off‐road driving,"R Hadsell, P Sermanet, J Ben, A Erkan, M Scoffier, K Kavukcuoglu, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Wp0gIr-vW9MC,2009,416
Original approach for the localisation of objects in images,"R Vaillant, C Monrocq, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:PR6Y55bgFSsC,1994,415
Modèles connexionnistes de l’apprentissage,Y LeCun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:b15ltGHXyxQC,1987,394
The role of over-parametrization in generalization of neural networks,"B Neyshabur, Z Li, S Bhojanapalli, Y LeCun, N Srebro",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:3YTBxAczQXIC,2019,371
High quality document image compression with DjVu,"L Bottou, P Haffner, PG Howard, P Simard, Y Bengio, Y Le Cun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:Y0pCki6q_DkC,1998,370
Learning process in an asymmetric threshold network,YL Cun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:zGdJYJv2LkUC,1986,352
Ask the locals: multi-way local pooling for image recognition,"YL Boureau, N Le Roux, F Bach, J Ponce, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:8AbLer7MMksC,2011,349
Hardware accelerated convolutional neural networks for synthetic vision systems,"C Farabet, B Martini, P Akselrod, S Talay, Y LeCun, E Culurciello",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:k_IJM867U9cC,2010,343
Barlow twins: Self-supervised learning via redundancy reduction,"J Zbontar, L Jing, I Misra, Y LeCun, S Deny",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:iKmOvsfbmGkC,2021,342
Tangent prop-a formalism for specifying selected invariances in an adaptive network,"P Simard, B Victorri, Y LeCun, J Denker",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:kuK5TVdYjLIC,1992,338
Toward automatic phenotyping of developing embryos from videos,"F Ning, D Delhomme, Y LeCun, F Piano, L Bottou, PE Barbano",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:7PzlFSSx8tAC,2005,335
Fast Convolutional Nets With fbfft: A GPU Performance Evaluation,"N Vasilache, J Johnson, M Mathieu, S Chintala, S Piantino, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:1tvASLRm6poC,2014,333
Neural networks: Tricks of the trade,"Y LeCun, L Bottou, GB Orr, KR Müller",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:_Ycx_gLZKoMC,1998,320
Super-Resolution with Deep Convolutional Sufficient Statistics,"J Bruna, P Sprechmann, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:nYc7v9NCwtsC,2015,309
Stacked what-where auto-encoders,"J Zhao, M Mathieu, R Goroshin, Y Lecun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:mSu_8wZzne8C,2015,301
Fast inference in sparse coding algorithms with applications to object recognition,"K Kavukcuoglu, MA Ranzato, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:QIV2ME_5wuYC,2010,279
Road scene segmentation from a single image,"JM Alvarez, T Gevers, Y LeCun, AM Lopez",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:sszUF3NjhM4C,2012,264
Improving generalization performance using double backpropagation,"H Drucker, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:dQ2og3OwTAUC,1992,258
Handwritten zip code recognition with multilayer networks,"Y LeCun, O Matan, B Boser, JS Denker, D Henderson, RE Howard, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:1yQoGdGgb4wC,1990,256
Transforming neural-net output levels to probability distributions,"J Denker, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:aqlVkmm33-oC,1991,244
Predictive network modeling of the high-resolution dynamic plant transcriptome in response to nitrate,"G Krouk, P Mirowski, Y LeCun, DE Shasha, GM Coruzzi",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:lSLTfruPkqcC,2010,242
"Scene Parsing with Multiscale Feature Learning, Purity Trees, and Optimal Covers","C Farabet, C Couprie, L Najman, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&pagesize=100&citation_for_view=WLN3QrAAAAAJ:6_hjMsCP8ZoC,2012,242
The need for open source software in machine learning,"S Sonnenburg, ML Braun, CS Ong, S Bengio, L Bottou, G Holmes, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:LXmCCkuhhTsC,2007,240
Adversarially Regularized Autoencoders for Generating Discrete Structures,"J Zhao, Y Kim, K Zhang, AM Rush, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:h4edN3iSU_gC,2018,237
Design of a neural network character recognizer for a touch terminal,"I Guyon, P Albrecht, Y LeCun, J Denker, W Hubbard",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:VL0QpB8kHFEC,1991,235
Very deep multilingual convolutional neural networks for LVCSR,"T Sercu, C Puhrsch, B Kingsbury, Y LeCun",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WLN3QrAAAAAJ&cstart=100&pagesize=100&citation_for_view=WLN3QrAAAAAJ:hUq98zRk74IC,2016,235
